s_adj,age,sex,unit,geo\time	2016M10 	2016M11 	2016M12 	2017M01 	2017M02 	2017M03 	2017M04 	2017M05 	2017M06 	2017M07 	2017M08 	2017M09 
SA,Y25-74,F,PC_ACT,AT	5.0 	4.7 	4.5 	4.6 	4.7 	4.6 	4.5 	4.5 	4.4 	4.3 	4.4 	4.4 
SA,Y25-74,F,PC_ACT,BE	5.9 	5.9 	6.2 	7.0 b	7.3 	7.2 	6.6 	6.2 	6.0 	6.1 	6.0 	5.9 
SA,Y25-74,F,PC_ACT,BG	6.0 	5.9 	6.0 	6.2 	6.3 	6.0 	5.6 	5.3 	5.3 	5.3 	5.4 	5.4 
SA,Y25-74,F,PC_ACT,CY	11.4 	12.3 	12.3 	11.7 	11.4 	11.0 	10.4 	10.3 	10.0 	9.9 	9.9 	9.6 
SA,Y25-74,F,PC_ACT,CZ	4.0 	4.0 	3.7 	3.9 	3.8 	3.9 	3.9 	3.3 	3.1 	3.2 	3.1 	3.2 
SA,Y25-74,F,PC_ACT,DE	3.2 	3.2 	3.1 	3.2 	3.2 	3.2 	3.1 	3.1 	3.0 	3.0 	2.9 	2.9 
SA,Y25-74,F,PC_ACT,DK	6.0 	5.7 	5.2 	5.2 	5.0 	5.0 	4.9 	5.1 	4.9 	4.9 	4.9 	5.1 
SA,Y25-74,F,PC_ACT,EA	9.2 	9.1 	9.1 	9.1 	9.0 	9.0 	8.8 	8.7 	8.6 	8.6 	8.5 	8.5 
SA,Y25-74,F,PC_ACT,EA18	9.2 	9.1 	9.1 	9.2 	9.1 	9.0 	8.8 	8.8 	8.6 	8.6 	8.6 	8.5 
SA,Y25-74,F,PC_ACT,EA19	9.2 	9.1 	9.1 	9.1 	9.0 	9.0 	8.8 	8.7 	8.6 	8.6 	8.5 	8.5 
SA,Y25-74,F,PC_ACT,EE	6.4 	5.4 	5.5 	5.1 	4.7 	4.3 	4.7 	5.5 	5.1 	5.1 	4.5 	: 
SA,Y25-74,F,PC_ACT,EL	26.9 	26.7 	26.6 	26.0 	25.4 	25.0 	24.7 	24.6 	24.1 	23.9 	: 	: 
SA,Y25-74,F,PC_ACT,ES	18.9 	18.8 	18.7 	18.7 	18.6 	18.5 	18.1 	17.8 	17.6 	17.5 	17.5 	17.3 
SA,Y25-74,F,PC_ACT,EU27	7.6 	7.5 	7.5 	7.5 	7.4 	7.3 	7.2 	7.1 	7.0 	7.0 	6.9 	6.9 
SA,Y25-74,F,PC_ACT,EU28	7.6 	7.5 	7.5 	7.5 	7.4 	7.3 	7.2 	7.1 	7.0 	7.0 	6.9 	6.9 
SA,Y25-74,F,PC_ACT,FI	7.0 	7.0 	7.0 	6.9 	6.9 	6.9 	6.9 	6.9 	6.9 	6.9 	7.0 	7.0 
SA,Y25-74,F,PC_ACT,FR	8.5 	8.5 	8.5 	8.5 	8.5 	8.5 	8.4 	8.4 	8.3 	8.4 	8.4 	8.4 
SA,Y25-74,F,PC_ACT,HR	11.9 	11.9 	11.9 	11.9 	11.7 	11.5 	11.3 	11.0 	10.8 	10.7 	10.6 	10.3 
SA,Y25-74,F,PC_ACT,HU	4.2 	4.0 	3.7 	3.8 	4.1 	4.2 	4.2 	4.2 	4.1 	4.1 	4.0 	: 
SA,Y25-74,F,PC_ACT,IE	5.2 	5.2 	5.3 	5.4 	5.3 	5.0 	4.5 	4.2 	4.1 	4.2 	4.2 	4.3 
SA,Y25-74,F,PC_ACT,IS	2.4 	2.3 	2.2 	2.1 	1.9 	1.8 	1.8 	1.7 	1.7 	1.7 	1.7 	1.6 
SA,Y25-74,F,PC_ACT,IT	11.2 	11.2 	11.2 	11.3 	11.3 	11.3 	10.9 	10.9 	10.9 	: 	: 	: 
SA,Y25-74,F,PC_ACT,LT	5.8 	5.8 	5.9 	5.6 	5.6 	5.7 	5.2 	5.0 	5.0 	5.7 	5.4 	5.4 
SA,Y25-74,F,PC_ACT,LU	5.5 	5.4 	5.4 	5.2 	5.2 	5.2 	5.1 	5.1 	5.1 	5.2 	5.2 	5.2 
SA,Y25-74,F,PC_ACT,LV	7.7 	7.7 	7.7 	7.5 	7.2 	6.9 	6.8 	6.8 	6.9 	6.9 	6.8 	6.6 
SA,Y25-74,F,PC_ACT,MT	4.0 	3.8 	3.6 	3.7 	3.5 	3.3 	3.2 	3.2 	3.2 	3.3 	3.3 	3.3 
SA,Y25-74,F,PC_ACT,NL	5.4 	5.5 	5.2 	5.1 	4.9 	4.7 	4.7 	4.9 	4.7 	4.5 	4.2 	4.3 
SA,Y25-74,F,PC_ACT,NO	3.3 	3.3 	3.1 	3.0 	3.1 	3.2 	3.3 	3.1 	3.0 	2.9 	2.9 	: 
SA,Y25-74,F,PC_ACT,PL	5.0 	4.9 	4.7 	4.6 	4.5 	4.4 	4.3 	4.2 	4.1 	4.0 	3.9 	3.8 
SA,Y25-74,F,PC_ACT,PT	9.4 	9.4 	9.1 	9.3 	9.1 	9.0 	8.8 	8.6 	8.5 	8.3 	8.1 	7.8 
SA,Y25-74,F,PC_ACT,RO	3.7 	3.6 	3.8 	3.3 	3.5 	3.4 	2.9 	3.0 	2.8 	3.0 	2.9 	2.8 
SA,Y25-74,F,PC_ACT,SE	4.8 	5.3 	4.9 	5.0 	4.8 	4.8 	5.0 	5.1 	4.9 	5.3 	4.8 	5.2 
SA,Y25-74,F,PC_ACT,SI	7.9 	7.9 	7.8 	7.7 	7.7 	7.5 	7.5 	7.4 	7.3 	7.2 	7.1 	6.9 
SA,Y25-74,F,PC_ACT,SK	8.9 	8.7 	8.4 	8.2 	8.0 	7.9 	7.8 	7.7 	7.5 	7.3 	7.2 	7.0 
SA,Y25-74,F,PC_ACT,UK	3.7 	3.6 	3.6 	3.5 	3.3 	3.3 	3.2 	3.2 	3.2 	3.2 	: 	: 
SA,Y25-74,F,PC_ACT,US	4.0 	3.9 	3.9 	4.0 	4.0 	3.8 	3.8 	3.9 	3.8 	3.7 	3.8 	3.6 
SA,Y25-74,M,PC_ACT,AT	5.3 	5.5 	5.5 	5.4 	5.5 	5.5 	5.2 	5.2 	5.3 	5.3 	5.4 	5.6 
SA,Y25-74,M,PC_ACT,BE	6.7 	6.5 	6.3 	6.1 b	6.0 	6.0 	6.1 	6.2 	6.2 	6.2 	6.2 	6.0 
SA,Y25-74,M,PC_ACT,BG	6.9 	6.7 	6.6 	6.3 	6.2 	6.0 	6.0 	6.1 	6.1 	6.1 	6.2 	6.1 
SA,Y25-74,M,PC_ACT,CY	11.6 	11.4 	11.4 	11.3 	11.0 	10.7 	10.1 	9.6 	9.1 	8.8 	8.6 	8.4 
SA,Y25-74,M,PC_ACT,CZ	2.7 	2.7 	2.6 	2.4 	2.2 	2.0 	2.1 	2.0 	2.1 	1.9 	2.0 	1.8 
SA,Y25-74,M,PC_ACT,DE	4.1 	4.0 	4.0 	4.0 	4.0 	3.9 	3.9 	3.8 	3.8 	3.7 	3.6 	3.6 
SA,Y25-74,M,PC_ACT,DK	4.6 	4.5 	4.7 	4.7 	5.0 	4.7 	4.5 	4.4 	4.5 	4.4 	4.3 	4.3 
SA,Y25-74,M,PC_ACT,EA	8.4 	8.4 	8.2 	8.2 	8.1 	8.0 	7.8 	7.8 	7.7 	7.7 	7.6 	7.6 
SA,Y25-74,M,PC_ACT,EA18	8.4 	8.4 	8.2 	8.2 	8.1 	8.0 	7.8 	7.8 	7.7 	7.7 	7.6 	7.5 
SA,Y25-74,M,PC_ACT,EA19	8.4 	8.4 	8.2 	8.2 	8.1 	8.0 	7.8 	7.8 	7.7 	7.7 	7.6 	7.6 
SA,Y25-74,M,PC_ACT,EE	7.0 	6.7 	5.8 	5.3 	4.8 	5.0 	5.4 	6.4 	6.3 	5.8 	5.1 	: 
SA,Y25-74,M,PC_ACT,EL	18.3 	18.4 	18.5 	18.2 	17.8 	17.3 	17.1 	16.9 	16.7 	16.4 	: 	: 
SA,Y25-74,M,PC_ACT,ES	15.6 	15.5 	15.3 	15.2 	15.0 	14.7 	14.3 	14.0 	13.7 	13.5 	13.5 	13.3 
SA,Y25-74,M,PC_ACT,EU27	7.0 	7.0 	6.9 	6.8 	6.7 	6.7 	6.5 	6.5 	6.4 	6.4 	6.4 	6.3 
SA,Y25-74,M,PC_ACT,EU28	7.0 	7.0 	6.9 	6.8 	6.8 	6.7 	6.5 	6.5 	6.4 	6.4 	6.4 	6.3 
SA,Y25-74,M,PC_ACT,FI	7.3 	7.3 	7.3 	7.4 	7.5 	7.5 	7.5 	7.4 	7.3 	7.2 	7.1 	7.1 
SA,Y25-74,M,PC_ACT,FR	8.6 	8.6 	8.4 	8.1 	8.0 	7.9 	7.9 	8.0 	8.2 	8.4 	8.5 	8.4 
SA,Y25-74,M,PC_ACT,HR	9.7 	9.5 	9.3 	9.0 	8.7 	8.5 	8.5 	8.3 	8.3 	8.2 	8.2 	8.1 
SA,Y25-74,M,PC_ACT,HU	4.0 	3.9 	3.8 	3.6 	3.6 	3.6 	3.5 	3.4 	3.4 	3.5 	3.3 	: 
SA,Y25-74,M,PC_ACT,IE	7.1 	6.8 	6.7 	6.8 	6.8 	6.6 	6.4 	6.3 	6.2 	6.1 	6.0 	5.9 
SA,Y25-74,M,PC_ACT,IS	2.0 	2.0 	2.1 	2.1 	2.1 	2.0 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 
SA,Y25-74,M,PC_ACT,IT	9.2 	9.2 	9.2 	9.2 	9.2 	9.2 	8.8 	8.8 	8.8 	: 	: 	: 
SA,Y25-74,M,PC_ACT,LT	7.9 	7.8 	8.0 	8.8 	9.3 	9.6 	8.7 	8.1 	8.0 	8.4 	8.5 	8.8 
SA,Y25-74,M,PC_ACT,LU	5.1 	5.1 	5.2 	5.1 	5.0 	5.0 	5.0 	4.9 	5.0 	5.1 	5.0 	5.0 
SA,Y25-74,M,PC_ACT,LV	10.2 	10.0 	10.1 	9.7 	9.4 	9.2 	9.4 	9.7 	9.7 	9.4 	9.1 	8.8 
SA,Y25-74,M,PC_ACT,MT	2.7 	2.6 	2.7 	3.0 	3.1 	3.1 	3.1 	3.0 	2.9 	3.0 	2.9 	2.8 
SA,Y25-74,M,PC_ACT,NL	4.1 	4.0 	3.9 	3.9 	4.0 	4.0 	3.8 	3.9 	3.8 	3.8 	3.7 	3.6 
SA,Y25-74,M,PC_ACT,NO	4.3 	4.2 	3.9 	3.7 	3.8 	3.8 	3.9 	3.6 	3.6 	3.5 	3.4 	: 
SA,Y25-74,M,PC_ACT,PL	4.8 	4.6 	4.5 	4.4 	4.3 	4.2 	4.2 	4.2 	4.1 	4.1 	4.0 	3.9 
SA,Y25-74,M,PC_ACT,PT	9.3 	9.1 	8.8 	8.6 	8.4 	8.5 	8.0 	7.5 	7.4 	7.3 	6.9 	6.6 
SA,Y25-74,M,PC_ACT,RO	5.1 	5.0 	4.9 	4.9 	4.9 	4.9 	4.6 	5.2 	5.0 	5.4 	5.3 	5.2 
SA,Y25-74,M,PC_ACT,SE	5.7 	5.4 	5.7 	5.5 	5.6 	5.1 	5.7 	5.5 	5.3 	5.6 	5.4 	5.3 
SA,Y25-74,M,PC_ACT,SI	7.1 	7.2 	7.1 	6.8 	6.4 	5.9 	5.5 	5.4 	5.3 	5.4 	5.5 	5.6 
SA,Y25-74,M,PC_ACT,SK	7.7 	7.6 	7.6 	7.6 	7.5 	7.4 	7.4 	7.2 	6.8 	6.6 	6.5 	6.3 
SA,Y25-74,M,PC_ACT,UK	3.4 	3.4 	3.4 	3.4 	3.4 	3.3 	3.2 	3.2 	3.2 	3.1 	: 	: 
SA,Y25-74,M,PC_ACT,US	4.0 	3.8 	3.9 	3.8 	3.8 	3.8 	3.5 	3.4 	3.5 	3.6 	3.8 	3.4 
SA,Y25-74,T,PC_ACT,AT	5.1 	5.1 	5.0 	5.0 	5.1 	5.1 	4.9 	4.8 	4.9 	4.9 	4.9 	5.0 
SA,Y25-74,T,PC_ACT,BE	6.3 	6.2 	6.3 	6.5 b	6.6 	6.6 	6.4 	6.2 	6.1 	6.2 	6.1 	6.0 
SA,Y25-74,T,PC_ACT,BG	6.5 	6.3 	6.3 	6.3 	6.2 	6.0 	5.8 	5.7 	5.7 	5.8 	5.8 	5.8 
SA,Y25-74,T,PC_ACT,CY	11.5 	11.9 	11.8 	11.5 	11.2 	10.8 	10.2 	9.9 	9.5 	9.3 	9.2 	9.0 
SA,Y25-74,T,PC_ACT,CZ	3.3 	3.2 	3.1 	3.0 	2.9 	2.9 	2.9 	2.5 	2.6 	2.5 	2.5 	2.4 
SA,Y25-74,T,PC_ACT,DE	3.7 	3.6 	3.6 	3.6 	3.6 	3.6 	3.5 	3.5 	3.4 	3.4 	3.3 	3.3 
SA,Y25-74,T,PC_ACT,DK	5.3 	5.1 	4.9 	5.0 	5.0 	4.8 	4.7 	4.7 	4.7 	4.6 	4.6 	4.7 
SA,Y25-74,T,PC_ACT,EA	8.8 	8.7 	8.6 	8.6 	8.5 	8.5 	8.3 	8.2 	8.1 	8.1 	8.0 	8.0 
SA,Y25-74,T,PC_ACT,EA18	8.8 	8.7 	8.6 	8.6 	8.5 	8.5 	8.3 	8.2 	8.1 	8.1 	8.0 	8.0 
SA,Y25-74,T,PC_ACT,EA19	8.8 	8.7 	8.6 	8.6 	8.5 	8.5 	8.3 	8.2 	8.1 	8.1 	8.0 	8.0 
SA,Y25-74,T,PC_ACT,EE	6.7 	6.1 	5.7 	5.2 	4.8 	4.6 	5.1 	5.9 	5.7 	5.5 	4.8 	: 
SA,Y25-74,T,PC_ACT,EL	22.1 	22.1 	22.1 	21.7 	21.2 	20.7 	20.5 	20.3 	20.0 	19.8 	: 	: 
SA,Y25-74,T,PC_ACT,ES	17.1 	17.0 	16.9 	16.8 	16.7 	16.5 	16.1 	15.8 	15.5 	15.4 	15.3 	15.2 
SA,Y25-74,T,PC_ACT,EU27	7.3 	7.2 	7.1 	7.1 	7.0 	7.0 	6.8 	6.8 	6.7 	6.7 	6.6 	6.6 
SA,Y25-74,T,PC_ACT,EU28	7.3 	7.2 	7.2 	7.1 	7.1 	7.0 	6.8 	6.8 	6.7 	6.7 	6.6 	6.6 
SA,Y25-74,T,PC_ACT,FI	7.2 	7.2 	7.2 	7.2 	7.2 	7.2 	7.2 	7.1 	7.1 	7.1 	7.1 	7.1 
SA,Y25-74,T,PC_ACT,FR	8.6 	8.5 	8.5 	8.3 	8.2 	8.2 	8.1 	8.1 	8.2 	8.4 	8.4 	8.4 
SA,Y25-74,T,PC_ACT,HR	10.7 	10.6 	10.5 	10.3 	10.1 	9.9 	9.8 	9.6 	9.4 	9.4 	9.3 	9.1 
SA,Y25-74,T,PC_ACT,HU	4.1 	4.0 	3.7 	3.7 	3.8 	3.9 	3.8 	3.8 	3.7 	3.7 	3.6 	: 
SA,Y25-74,T,PC_ACT,IE	6.2 	6.1 	6.1 	6.1 	6.1 	5.9 	5.5 	5.3 	5.2 	5.2 	5.2 	5.2 
SA,Y25-74,T,PC_ACT,IS	2.2 	2.2 	2.1 	2.1 	2.0 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 	1.9 
SA,Y25-74,T,PC_ACT,IT	10.0 	10.0 	10.0 	10.1 	10.1 	10.1 	9.7 	9.7 	9.7 	: 	: 	: 
SA,Y25-74,T,PC_ACT,LT	6.8 	6.8 	6.9 	7.2 	7.4 	7.6 	6.9 	6.5 	6.5 	7.0 	6.9 	7.1 
SA,Y25-74,T,PC_ACT,LU	5.3 	5.2 	5.3 	5.2 	5.1 	5.1 	5.0 	5.0 	5.0 	5.1 	5.1 	5.1 
SA,Y25-74,T,PC_ACT,LV	8.9 	8.9 	8.9 	8.6 	8.2 	8.1 	8.1 	8.2 	8.3 	8.2 	8.0 	7.7 
SA,Y25-74,T,PC_ACT,MT	3.2 	3.0 	3.0 	3.3 	3.2 	3.2 	3.1 	3.1 	3.0 	3.1 	3.0 	3.0 
SA,Y25-74,T,PC_ACT,NL	4.7 	4.7 	4.5 	4.5 	4.5 	4.3 	4.2 	4.3 	4.2 	4.1 	3.9 	3.9 
SA,Y25-74,T,PC_ACT,NO	3.9 	3.8 	3.5 	3.4 	3.5 	3.5 	3.6 	3.4 	3.3 	3.2 	3.2 	: 
SA,Y25-74,T,PC_ACT,PL	4.9 	4.7 	4.6 	4.5 	4.4 	4.3 	4.3 	4.2 	4.1 	4.0 	3.9 	3.8 
SA,Y25-74,T,PC_ACT,PT	9.4 	9.2 	8.9 	8.9 	8.8 	8.7 	8.4 	8.1 	8.0 	7.8 	7.5 	7.2 
SA,Y25-74,T,PC_ACT,RO	4.5 	4.4 	4.4 	4.2 	4.3 	4.2 	3.8 	4.2 	4.1 	4.3 	4.3 	4.2 
SA,Y25-74,T,PC_ACT,SE	5.3 	5.4 	5.3 	5.3 	5.2 	5.0 	5.4 	5.3 	5.1 	5.5 	5.1 	5.3 
SA,Y25-74,T,PC_ACT,SI	7.4 	7.5 	7.4 	7.2 	7.0 	6.7 	6.5 	6.3 	6.2 	6.3 	6.3 	6.2 
SA,Y25-74,T,PC_ACT,SK	8.2 	8.1 	8.0 	7.9 	7.7 	7.6 	7.6 	7.4 	7.1 	6.9 	6.8 	6.6 
SA,Y25-74,T,PC_ACT,TR	9.9 	9.9 	9.8 	9.6 	9.6 	9.5 	9.2 	9.2 	9.0 	9.1 	: 	: 
SA,Y25-74,T,PC_ACT,UK	3.5 	3.5 	3.5 	3.4 	3.4 	3.3 	3.2 	3.2 	3.2 	3.1 	: 	: 
SA,Y25-74,T,PC_ACT,US	4.0 	3.9 	3.9 	3.9 	3.9 	3.8 	3.6 	3.6 	3.7 	3.6 	3.8 	3.5 
